Total registros en cca_predio: 9000
Registros con id_operacion duplicado: 1629

Lista de id_operacion duplicados con su cantidad:
id_operacion: 254360000000000040246000000000 - Cantidad: 5
id_operacion: 254360000000000040245000000000 - Cantidad: 5
id_operacion: 254360000000000040244000000000 - Cantidad: 5
id_operacion: 254360000000000040238000000000 - Cantidad: 5
id_operacion: 254360000000000040237000000000 - Cantidad: 5
id_operacion: 254360000000000040235000000000 - Cantidad: 5
id_operacion: 254360000000000040234000000000 - Cantidad: 5
id_operacion: 254360000000000040233000000000 - Cantidad: 5
id_operacion: 254360000000000040228000000000 - Cantidad: 5
id_operacion: 254360000000000040227000000000 - Cantidad: 5
id_operacion: 254360000000000040221000000000 - Cantidad: 5
id_operacion: 254360000000000040220000000000 - Cantidad: 5
id_operacion: 254360000000000040219000000000 - Cantidad: 5
id_operacion: 254360000000000040218000000000 - Cantidad: 5
id_operacion: 254360000000000040217000000000 - Cantidad: 5
id_operacion: 254360000000000040216000000000 - Cantidad: 5
id_operacion: 254360000000000040215000000000 - Cantidad: 5
id_operacion: 254360000000000040214000000000 - Cantidad: 5
id_operacion: 254360000000000040213000000000 - Cantidad: 5
id_operacion: 254360000000000040212000000000 - Cantidad: 5
id_operacion: 254360000000000040211000000000 - Cantidad: 5
id_operacion: 254360000000000040210000000000 - Cantidad: 5
id_operacion: 254360000000000040206000000000 - Cantidad: 5
id_operacion: 254360000000000040205000000000 - Cantidad: 5
id_operacion: 254360000000000040204000000000 - Cantidad: 5
id_operacion: 254360000000000040203000000000 - Cantidad: 5
id_operacion: 254360000000000040202000000000 - Cantidad: 5
id_operacion: 254360000000000040201000000000 - Cantidad: 5
id_operacion: 254360000000000040200000000000 - Cantidad: 5
id_operacion: 254360000000000040199000000000 - Cantidad: 5
id_operacion: 254360000000000040196000000000 - Cantidad: 5
id_operacion: 254360000000000040195000000000 - Cantidad: 5
id_operacion: 254360000000000040189000000000 - Cantidad: 5
id_operacion: 254360000000000040187000000000 - Cantidad: 5
id_operacion: 254360000000000040186000000000 - Cantidad: 5
id_operacion: 254360000000000040185000000000 - Cantidad: 5
id_operacion: 254360000000000040184000000000 - Cantidad: 5
id_operacion: 254360000000000040183000000000 - Cantidad: 5
id_operacion: 254360000000000040182000000000 - Cantidad: 5
id_operacion: 254360000000000040179000000000 - Cantidad: 5
id_operacion: 254360000000000040178000000000 - Cantidad: 5
id_operacion: 254360000000000040177000000000 - Cantidad: 5
id_operacion: 254360000000000040175000000000 - Cantidad: 5
id_operacion: 254360000000000040174000000000 - Cantidad: 5
id_operacion: 254360000000000040173000000000 - Cantidad: 5
id_operacion: 254360000000000040171000000000 - Cantidad: 5
id_operacion: 254360000000000040066000000000 - Cantidad: 5
id_operacion: 254360000000000040065000000000 - Cantidad: 5
id_operacion: 254360000000000040064000000000 - Cantidad: 5
id_operacion: 254360000000000040063000000000 - Cantidad: 5
id_operacion: 254360000000000040062000000000 - Cantidad: 5
id_operacion: 254360000000000040061000000000 - Cantidad: 5
id_operacion: 254360000000000040060000000000 - Cantidad: 5
id_operacion: 254360000000000040059000000000 - Cantidad: 5
id_operacion: 254360000000000040058000000000 - Cantidad: 5
id_operacion: 254360000000000040057000000000 - Cantidad: 5
id_operacion: 254360000000000040056000000000 - Cantidad: 5
id_operacion: 254360000000000040055000000000 - Cantidad: 5
id_operacion: 254360000000000040054000000000 - Cantidad: 5
id_operacion: 254360000000000040053000000000 - Cantidad: 5
id_operacion: 254360000000000040051000000000 - Cantidad: 5
id_operacion: 254360000000000040050000000000 - Cantidad: 5
id_operacion: 254360000000000040044000000000 - Cantidad: 5
id_operacion: 254360000000000040043000000000 - Cantidad: 5
id_operacion: 254360000000000040042000000000 - Cantidad: 5
id_operacion: 254360000000000040041000000000 - Cantidad: 5
id_operacion: 254360000000000040040000000000 - Cantidad: 5
id_operacion: 254360000000000040039000000000 - Cantidad: 5
id_operacion: 254360000000000040038000000000 - Cantidad: 5
id_operacion: 254360000000000040037000000000 - Cantidad: 5
id_operacion: 254360000000000040036000000000 - Cantidad: 5
id_operacion: 254360000000000040035000000000 - Cantidad: 5
id_operacion: 254360000000000040033000000000 - Cantidad: 5
id_operacion: 254360000000000040032000000000 - Cantidad: 5
id_operacion: 254360000000000040031000000000 - Cantidad: 5
id_operacion: 254360000000000040030000000000 - Cantidad: 5
id_operacion: 254360000000000040029000000000 - Cantidad: 5
id_operacion: 254360000000000040028000000000 - Cantidad: 5
id_operacion: 254360000000000040027000000000 - Cantidad: 5
id_operacion: 254360000000000040026000000000 - Cantidad: 5
id_operacion: 254360000000000040025000000000 - Cantidad: 5
id_operacion: 254360000000000040024000000000 - Cantidad: 5
id_operacion: 254360000000000040021000000000 - Cantidad: 5
id_operacion: 254360000000000040003000000000 - Cantidad: 5
id_operacion: 254360000000000040002000000000 - Cantidad: 5
id_operacion: 254360000000000040001000000000 - Cantidad: 5
id_operacion: 254360000000000030495000000000 - Cantidad: 5
id_operacion: 254360000000000030415000000000 - Cantidad: 5
id_operacion: 254360000000000030402000000000 - Cantidad: 5
id_operacion: 254360000000000030400000000000 - Cantidad: 5
id_operacion: 254360000000000030398000000000 - Cantidad: 5
id_operacion: 254360000000000030395000000000 - Cantidad: 5
id_operacion: 254360000000000030324000000000 - Cantidad: 5
id_operacion: 254360000000000020988000000000 - Cantidad: 5
id_operacion: 254360000000000020983000000000 - Cantidad: 5
id_operacion: 254360000000000020982000000000 - Cantidad: 5
id_operacion: 254360000000000020980000000000 - Cantidad: 5
id_operacion: 254360000000000020976000000000 - Cantidad: 5
id_operacion: 254360000000000020975000000000 - Cantidad: 5
id_operacion: 254360000000000020974000000000 - Cantidad: 5
id_operacion: 254360000000000020973000000000 - Cantidad: 5
id_operacion: 254360000000000020972000000000 - Cantidad: 5
id_operacion: 254360000000000020971000000000 - Cantidad: 5
id_operacion: 254360000000000020970000000000 - Cantidad: 5
id_operacion: 254360000000000020969000000000 - Cantidad: 5
id_operacion: 254360000000000020968000000000 - Cantidad: 5
id_operacion: 254360000000000020967000000000 - Cantidad: 5
id_operacion: 254360000000000020966000000000 - Cantidad: 5
id_operacion: 254360000000000020964000000000 - Cantidad: 5
id_operacion: 254360000000000020961000000000 - Cantidad: 5
id_operacion: 254360000000000020960000000000 - Cantidad: 5
id_operacion: 254360000000000020955000000000 - Cantidad: 5
id_operacion: 254360000000000020937000000000 - Cantidad: 5
id_operacion: 254360000000000020936000000000 - Cantidad: 5
id_operacion: 254360000000000020935000000000 - Cantidad: 5
id_operacion: 254360000000000020934000000000 - Cantidad: 5
id_operacion: 254360000000000020933000000000 - Cantidad: 5
id_operacion: 254360000000000020932000000000 - Cantidad: 5
id_operacion: 254360000000000020931000000000 - Cantidad: 5
id_operacion: 254360000000000020930000000000 - Cantidad: 5
id_operacion: 254360000000000020928000000000 - Cantidad: 5
id_operacion: 254360000000000020927000000000 - Cantidad: 5
id_operacion: 254360000000000020926000000000 - Cantidad: 5
id_operacion: 254360000000000020925000000000 - Cantidad: 5
id_operacion: 254360000000000020923000000000 - Cantidad: 5
id_operacion: 254360000000000020922000000000 - Cantidad: 5
id_operacion: 254360000000000020921000000000 - Cantidad: 5
id_operacion: 254360000000000020920000000000 - Cantidad: 5
id_operacion: 254360000000000020919000000000 - Cantidad: 5
id_operacion: 254360000000000020917000000000 - Cantidad: 5
id_operacion: 254360000000000020914000000000 - Cantidad: 5
id_operacion: 254360000000000020911000000000 - Cantidad: 5
id_operacion: 254360000000000020910000000000 - Cantidad: 5
id_operacion: 254360000000000020907000000000 - Cantidad: 5
id_operacion: 254360000000000020906000000000 - Cantidad: 5
id_operacion: 254360000000000020904000000000 - Cantidad: 5
id_operacion: 254360000000000020902000000000 - Cantidad: 5
id_operacion: 254360000000000020901000000000 - Cantidad: 5
id_operacion: 254360000000000020899000000000 - Cantidad: 5
id_operacion: 254360000000000020889000000000 - Cantidad: 5
id_operacion: 254360000000000020888000000000 - Cantidad: 5
id_operacion: 254360000000000020887000000000 - Cantidad: 5
id_operacion: 254360000000000020884000000000 - Cantidad: 5
id_operacion: 254360000000000020883000000000 - Cantidad: 5
id_operacion: 254360000000000020861000000000 - Cantidad: 5
id_operacion: 254360000000000020860000000000 - Cantidad: 5
id_operacion: 254360000000000020859000000000 - Cantidad: 5
id_operacion: 254360000000000020858000000000 - Cantidad: 5
id_operacion: 254360000000000020857000000000 - Cantidad: 5
id_operacion: 254360000000000020856000000000 - Cantidad: 5
id_operacion: 254360000000000020855000000000 - Cantidad: 5
id_operacion: 254360000000000020854000000000 - Cantidad: 5
id_operacion: 254360000000000020853000000000 - Cantidad: 5
id_operacion: 254360000000000020852000000000 - Cantidad: 5
id_operacion: 254360000000000020851000000000 - Cantidad: 5
id_operacion: 254360000000000020850000000000 - Cantidad: 5
id_operacion: 254360000000000020849000000000 - Cantidad: 5
id_operacion: 254360000000000020848000000000 - Cantidad: 5
id_operacion: 254360000000000020847000000000 - Cantidad: 5
id_operacion: 254360000000000020845000000000 - Cantidad: 5
id_operacion: 254360000000000020844000000000 - Cantidad: 5
id_operacion: 254360000000000020843000000000 - Cantidad: 5
id_operacion: 254360000000000020842000000000 - Cantidad: 5
id_operacion: 254360000000000020836000000000 - Cantidad: 5
id_operacion: 254360000000000020835000000000 - Cantidad: 5
id_operacion: 254360000000000020833000000000 - Cantidad: 5
id_operacion: 254360000000000020832000000000 - Cantidad: 5
id_operacion: 254360000000000020829000000000 - Cantidad: 5
id_operacion: 254360000000000020828000000000 - Cantidad: 5
id_operacion: 254360000000000020824000000000 - Cantidad: 5
id_operacion: 254360000000000020823000000000 - Cantidad: 5
id_operacion: 254360000000000020822000000000 - Cantidad: 5
id_operacion: 254360000000000020801800000952 - Cantidad: 5
id_operacion: 254360000000000020787000000000 - Cantidad: 5
id_operacion: 254360000000000020786000000000 - Cantidad: 5
id_operacion: 254360000000000020780000000000 - Cantidad: 5
id_operacion: 254360000000000020774000000000 - Cantidad: 5
id_operacion: 254360000000000020773000000000 - Cantidad: 5
id_operacion: 254360000000000020772000000000 - Cantidad: 5
id_operacion: 254360000000000020771000000000 - Cantidad: 5
id_operacion: 254360000000000020762000000000 - Cantidad: 5
id_operacion: 254360000000000020761000000000 - Cantidad: 5
id_operacion: 254360000000000020760000000000 - Cantidad: 5
id_operacion: 254360000000000020759000000000 - Cantidad: 5
id_operacion: 254360000000000020758000000000 - Cantidad: 5
id_operacion: 254360000000000020757000000000 - Cantidad: 5
id_operacion: 254360000000000020756000000000 - Cantidad: 5
id_operacion: 254360000000000020752000000000 - Cantidad: 5
id_operacion: 254360000000000020751000000000 - Cantidad: 5
id_operacion: 254360000000000020750000000000 - Cantidad: 5
id_operacion: 254360000000000020749000000000 - Cantidad: 5
id_operacion: 254360000000000020748000000000 - Cantidad: 5
id_operacion: 254360000000000020747000000000 - Cantidad: 5
id_operacion: 254360000000000020746000000000 - Cantidad: 5
id_operacion: 254360000000000020745000000000 - Cantidad: 5
id_operacion: 254360000000000020744000000000 - Cantidad: 5
id_operacion: 254360000000000020743000000000 - Cantidad: 5
id_operacion: 254360000000000020742000000000 - Cantidad: 5
id_operacion: 254360000000000020741000000000 - Cantidad: 5
id_operacion: 254360000000000020740000000000 - Cantidad: 5
id_operacion: 254360000000000020739000000000 - Cantidad: 5
id_operacion: 254360000000000020738000000000 - Cantidad: 5
id_operacion: 254360000000000020704000000000 - Cantidad: 5
id_operacion: 254360000000000020703000000000 - Cantidad: 5
id_operacion: 254360000000000020702000000000 - Cantidad: 5
id_operacion: 254360000000000020701000000000 - Cantidad: 5
